Org1	  University ICU Communication
Org298	  University Aizu
Org299	  Noordwijk Risk Foundation Initiative
Org300	  Beijing Vehicle Institute Special
Org301	  Group Database
Org302	  Center Competence Commerce Electronic
Org303	  CNR ICAR
Org304	  Valais University Sciences Applied
Org305	  Valais University Sciences HEVs Applied
Org306	  Fachhochschule Ludwigshafen
Org307	  XONAR GmbH
Org308	  della Calabria Universit DEIS
Org309	  Xyleme
Org310	  CognlT
Org311	  Saxony Hannover
Org312	  Fraunhofer Berlin ISST
Org313	  University Sciences Applied Zurich Arts HGKZ
Org314	  Universit Anwendungssysteme t
Org315	  Zaporozhye Univ
Org316	  Institute Telecommunications Informatics
Org317	  Government Commerce Lab
Org318	  USA Laboratories Communications DoCoMo
Org319	  Artois Universit IUT Lens
Org320	  UQAM
Org321	  Institute Science
Org322	  Institute Science Theoretical
Org323	  Salerno Studi Universit degli di
Org324	  XI Universit Sud Futurs INRIA Paris
Org325	  GMD FOKUS
Org326	  Dept Systems Communication
Org327	  Institute Telematica
Org328	  Voluceau Domaine Rocquencourt
Org329	  Baltimore Maryland County
Org330	  ACACIA project INRIA
Org331	  Institute USC Sciences
Org332	  Campus Beaulieu Universitaire
Org333	  BTexact Intelligent Laboratory Systems Technologies
Org334	  Alpes Rh Inria
Org335	  Labs Research Bell
Org336	  UWE Cooperative Centre Systems Complex
Org337	  Canada National Council Business
Org338	  Bremen University
Org339	  Program Science Management
Org340	  Demokritos
Org341	  Polo Didattico di Ricerca Crema
Org342	  Space Cyber Laboratories NTT
Org343	  Palo Alto
Org344	  OGI OHSU
Org345	  Centro Scientifica Ricerca Tecnologica
Org346	  Networking University Technology Laboratory Helsinki
Org347	  National Scientific Centre
Org348	  TUWien
Org349	  Corporation Technology Science Japanese
Org350	  CWI
Org351	  Institute Eurecom
Org352	  Universit Sapienza di Roma
Org353	  Sirma OntoText Lab EOOD
Org354	  CNAM Cedric INRIA Rocquencourt
Org355	  Epsilon Technologies
Org356	  Nisus Inc
Org357	  UR Rocquencourt
Org358	  InfoLab
Org359	  College Yichun
Org360	  Voluceau Domaine
Org361	  CNUCE Istituto
Org362	  Communications
Org363	  Laboratory
Org364	  Biology Molecular
Org365	  Faculty Technology Management
Org366	  Vienna WU
Org367	  Engineering Institute Software Laboratory Telecommunications Knowledge Informatics
Org368	  Artificial Center Intelligence German DFKI
Org369	  Hellas Institute Technology Telematics Centre Informatics
Org370	  Intelligent Laboratory Systems
Org371	  Ecole des Informatique Industriel nie Etienne Mines
Org372	  Karlsruhe
Org373	  Kassel
Org374	  Freiburg
Org375	  Informatik MPI
Org376	  University Namur
Org377	  FZI University Karlsruhe
Org378	  Mellon University Carnegie
Org379	  Generation Research
Org380	  Dipartimento di Elettronica Informazione
Org381	  Dipartimento Automatica di Informatica
Org382	  Artificial Center Department Intelligence German Management Knowledge
Org383	  Informatik Forschungszentrum
Org384	  ISIS Laboratory Descartes Cit
Org385	  Institute Informatics
Org386	  Centro Scientifica ITC Ricerca irst Tecnologica
Org387	  National University Chunbuk
Org388	  Sirma OntoText Lab
Org389	  Institute DERI Enterprise Digital
Org390	  LORIA
Org391	  Dynamics Network Laboratory Maryland
Org392	  UNY Buffalo
Org393	  CREST JST
Org394	  CSIRO Technology CRC Sciences Distributed Enterprise Mathematical Systems
Org395	  ICU
Org396	  Engineering School Science Software
Org397	  Dipartmento Scienze di Informazione dell
Org398	  Universit Paris
Org399	  University
Org400	  Institut Informationssysteme
Org401	  Aduna
Org402	  Empolis
Org403	  Nederland Aidministrator
Org404	  Pty Ltd Justwin Technologies
Org405	  Zhngshan University
Org406	  Hong University Technology Science Kong
Org407	  Action Rhone Alpes EXMO INRIA
Org408	  Economics University
Org409	  Depto Informatica
Org410	  Center Development
Org411	  Administration National Public Centre
Org412	  IBM Laboratory Haifa
Org413	  Engineering Weaving Internet
Org414	  LRI Xyleme
Org415	  Science MIT Lab
Org416	  Network BIRN Informatics Biomedical
Org417	  Lockheed Martin Data Management Systems
Org418	  LISI Universit Lyon
Org419	  Science Division
Org420	  University Konstanz
Org421	  IBM Watson Laboratory
Org422	  Kaiserslautern GmbH DFKI
Org423	  Bozen University Bolzano
Org424	  DBAI
Org425	  Stilo
Org426	  Ingenier tica Inform
Org427	  NORDAKADMIE FH
Org428	  National Scientific Centre Demokritos
Org429	  Campus des Cezeaux
Org430	  UAM Iztapalapa
Org431	  TOREST
Org432	  SLAG
Org433	  Sony Science Laboratory
Org434	  Consulting Coolheads
Org435	  CNRS UMR
Org436	  Eurostep Limited
Org437	  Institute Publication Integrated Systems
Org438	  University Rey Juan Carlos
Org439	  Corporation ISX
Org440	  DoCoMo NTT
Org441	  University ICU
Org442	  ICS
Org443	  Lixto Software GmbH
Org444	  Scientifica Istituto Ricerca Tecnologica
Org445	  ontoprise GmbH
Org446	  Components Intelligent Software
Org447	  Thessaloniki United Nations Centre
Org448	  Center Fujitsu Ltd
Org449	  University Landau Koblenz
Org450	  Center Genome UC Davis
Org451	  Center DoCoMo NTT
Org452	  National Zaporozhye Univ
Org453	  KORTERM KAIST
Org454	  Center National Technology German GMD IPSI
Org455	  Center National Technology German GMD
Org456	  University Technical Darmstadt KOM
Org457	  T I
Org458	  KORTERM KAIST BOLA
Org459	  University Corunna
Org460	  Amerfoort Aduna
Org461	  Produzione Sistemi
Org462	  Hong UST Kong
Org463	  appmosphere applications
Org464	  Institute DERI Enterprise Digital Innsbruck
Org465	  Institute DERI Enterprise Digital International
Org466	  Solutions IMCS Imbert Consulting Management
Org467	  Engineering University
Org468	  Universit Yaound
Org469	  TopQuadrant Inc
Org470	  Department Production Science Systems
Org471	  Artifical Center Intelligence German
Org472	  Ingenieros Escuela Superior
Org473	  Project ACACIA Antipolis INRIA Sophia
Org474	  LRI Xyleme Futurs INRIA
Org475	  Dipartimento Ingegneria Informazione dell
Org476	  CNR CSITE
Org477	  UWE CCCS
Org478	  Rennes Universit IRISA
Org479	  MERL
Org480	  ChineseAcademyofSciences GraduateSchoolof
Org481	  Industries Heavy Qingdao Mitsubishi Haier conditioners Air Ltd
Org482	  Studies School Library Communication
Org483	  Cambridge
Org484	  School Computer
Org485	  Campus Wellcome Genome EBI Trust
Org486	  Parque San Sebasti Tecnol gico n
Org487	  los Paseo Idom Olmos
Org488	  Artificial Intelligence Laboratory
Org489	  Institute Enterprise Digital
Org490	  Hanover University
Org491	  DERI Innsbruck
Org492	  DERI Galway
Org493	  Engineering Institute Aeronautical Naval
Org494	  Software Sandpiper Inc
Org495	  Universit IRIT Sabatier Paul
Org496	  Network Inference
Org497	  Italian Council
Org498	  Labs WhizBang Research
Org499	  Stony University Stefano Brook Spaccapietra
Org500	  Office CCLRC Rutherford Ireland Laboratory Appleton
Org501	  Administration National Public Centre Greek
Org502	  Aut oma Universidad Madrid
Org503	  Industry Corporation Institute ShipBuilding China Development
Org504	  School Sciences Mathematical
Org505	  CNR IEIIT
Org506	  Jiuheyuan Industry Company Chengdu
Org507	  CNAM Cedric Futurs INRIA Paris
Org508	  CNRS Paris
Org509	  delle Ricerche Nazionale Consiglio
Org510	  Ventures Knowledge Systems
Org511	  University Texas El Paso
Org512	  VUB STARLab
Org513	  INT
Org514	  LRI Futurs INRIA
Org515	  Artifical Center Intelligence Deduction German Systems Multiagent
Org516	  Group Embedded Systems
Org517	  Group Management Knowledge
Org518	  Hunan University
Org519	  Exeura l
Org520	  Inria Rocquencourt
Org521	  Heraklion
Org522	  Ferrand UBP ISIMA Clermont
Org523	  Institute Management
Org524	  School Technology Science
Org525	  University Paris
Org526	  University Language JULIE Engineerings Lab Jena
Org527	  Roma Univ
Org528	  Institute Technology Florida Melbourne
Org529	  SRA IRST ITC Division
Org530	  Pisa CNR KDD Laboratory ISTI
Org531	  INRIA UR Rocquencourt
Org532	  Agency University Kyoto Technology Japan Science
Org533	  GmbH
Org534	  Corporation Toshiba
Org535	  Institute Engineers Corps
Org536	  National University Ireland
Org537	  National ICT
Org538	  Finanzas Tecnolog Informaci
Org539	  Corporation NTT
Org540	  Stony University Brook
Org541	  Engineering Department Biomedical
Org542	  Signal National Radar Lab Processing
Org543	  National Institute Communications NICT
Org544	  Singapore MIT Alliance
Org545	  Laboratoire Images InfoRmatique en Systems LIRIS
Org546	  Retrieval School Technology Science Laboratory
Org547	  Xonar GmbH
Org548	  Generation Exact Research
Org549	  Voluceau Inria Domaine Rocquencourt
Org550	  Group Improvement Software
Org551	  WebRatio
Org552	  University IRST ITC Trento
Org553	  Tecnology San Sebastian Park
Org554	  NCSR Institute Demokritos
Org555	  MetaFrame Technologies
Org556	  des SMA ENS Centre Etienne Mines Saint
Org557	  Mindbox
Org558	  Pattern Discovery Software Ltd
Org559	  Scientifica Ricerca Instituto Tecnologica
Org560	  Center CNRS Intelligent Images Lyon UMR Systems
Org561	  EML gGmbH
Org562	  Canada Center National
Org563	  Center Development Fujitsu
Org564	  Center China Telecommunication Samsung
Org565	  University Bremen
Org566	  Center FZI University Technology Karlsruhe
Org567	  Human Institute University West Cognition Florida Machine
Org568	  Forschungsbereich Wissensmanagement
Org569	  Institute Telecommunication Systems
Org570	  della R di Informazione Istituto Elaborazione
Org571	  beck
Org572	  Tokyo AIST Waterfront
Org573	  Automation Systems
Org574	  Xyleme INRIA
Org575	  Parque CEDETEL Tecnol gico Boecillo
Org576	  Center FUJITSU Ltd
Org577	  Online GeoReference
Org578	  Graphische Institut Verarbeitung IGD Daten
Org579	  LISI Laboratory
Org580	  Consultant
Org581	  Labs IBM Valley Silicon
Org582	  INRIA Rocquencourt
Org583	  Artificial EPFL Intelligence LIA Laboratory
Org584	  IBM blingen Lab
Org585	  University Luxembourg Science IST Applied
Org586	  Sirma Ontotext Lab
Org587	  Brussels
Org588	  Berger Saint Gaston Louis
Org589	  Faculty Medicine Broussais
Org590	  TU Darmstadt KOM
Org591	  Energy Analysis plc BP
Org592	  National University Ireland DERI
Org593	  Laboratories America NEC
Org594	  University Koblenz
Org595	  Notfallmedizin Arzt sthesiologie
Org596	  University Florida
Org597	  Technologiepark ICT
Org598	  ICT Centre Tasmanian
Org599	  ICT Technologie Park
Org600	  Fraunhofer Fokus
Org601	  BT
Org602	  des Grangettes Clinique Fondation
Org603	  Corporation MIRTE
Org604	  Convera
Org605	  Pontif Grande Rio cia Universidade Sul
Org606	  TopQuadrant
Org607	  Station EPFL INJ IIF Lausanne IC LBD
Org608	  Automation Dept Science
Org609	  Economics Institute Science Systems Business
Org610	  Merced Systems
Org611	  School Semantic
Org612	  Labs MLB
Org613	  Systems BEA
Org614	  Cat Janeiro lica Rio Universidade
Org615	  Ospedaliera Poma Azienda
Org616	  Institut und Automatisierung Produktionstechnik
Org617	  Vulcan
Org618	  Fachhochschule und Verwaltung Umwelt Trier
Org619	  Technlolgy Unibersity Hebei
Org620	  IGD GraphiTech
Org621	  Universit Dresden Technischer
Org622	  Guangdong technical University
Org623	  CONICET INGAR
Org624	  Institute Senckenberg Museum Natural History
Org625	  Xi Institute Technology Shaanxi
Org626	  Telcordia
Org627	  Center Department Science
Org628	  Leonardo Vinci piazza da
Org629	  University Chongqing
Org630	  b Aduna Prinses Julianaplein
Org631	  Hellas Center Technology
Org632	  Center Intelligent Images Lyon LIRIS Systems
Org633	  Ningbo Health College Science
Org634	  University Technology College Science Fei Hefei
Org635	  Vassilika Voutwn
Org636	  University Kowloon
Org637	  HPI University Potsdam Yazd
Org638	  Language Technology Lab GmbH DFKI
Org639	  Research IMC
Org640	  CAS MPG PICB
Org641	  Immune Network Tolerance
Org642	  Institution
Org643	  National University Zaporozhye
Org644	  veloppement Electricit France Recherche
Org645	  Earth Technology Resources
Org646	  University STI Innsbruck
Org647	  Laval Universit DAMAS
Org648	  BOILER DONGFANG
Org649	  Exeura
Org650	  Hellas Center Technology ITICERTH
Org651	  Fachhochschule Alice Berlin Salomon
Org652	  CSIRO ICT Centre
Org653	  Universit Schloss Mannheim
Org654	  Hang University Bei
Org655	  Princeton Dept Vision Real Siemens Time Corp NJ Modeling
Org656	  Corporation Center Toshiba Komukai shi Japan Corporate ku cho Kawasaki Saiwai
Org657	  Montpellier Universit LIRMM UMR
Org658	  Dipartimento Universit di Informatica Torino
Org659	  Innovation Operations Amadeus
Org660	  Office Telecom Center British Intelligence Chief Intelligent Technology Computational Systems
Org661	  Dipartimento Universit Svizzera di Corso Informatica Torino
Org662	  Studies Engineering University Duisburg Essen International
Org663	  Montpellier Universit CNRS rue LIRMM UMR Ada
Org664	  Engineering Science
Org665	  Pisa CNR ISTI
Org666	  CSIRO ICT Centre eHealth
Org667	  Universit LORIA Nancy Lorraine INRIA
Org668	  Wien Favoritenstr Vienna DBAITU
Org669	  Building QD University Road OX Wolfson Laboratory Computing Parks Oxford
Org670	  Affiliations
Org671	  Laboratoire IGN COGIT
Org672	  Engineering Ministry Computation Education Laboratory Knowledge Changchun Key Symbolic
Org673	  Universidad Tulip Madrid Rey stoles Juan Carlos
Org674	  Artificial Center Intelligence Saarbr German cken
Org675	  Center ITC Scientific irst Research Technological
Org676	  Ministry Education
Org677	  Wako RIKEN BSI
Org678	  Glasgow
Org679	  irst FBK Trento
Org680	  BTB
Org681	  Institute Technology Semantic STI
Org682	  Universit Berlin Technische Labor DAI
Org683	  sica Universidad LIR Madrid III Teledetecci Sensores Departamento Laboratorio Carlos
Org684	  ILOG SA
Org685	  Montpellier CNRS Univ
Org686	  University DERI Innsbruck
Org687	  Multimedia MUSIC Campus Crete TUC Laboratory Systems University Technical Chania Distributed Kounoupidiana
Org688	  AG
Org689	  IRST FBK
Org690	  Universit Karlsruhe
Org691	  Universit Department Johannisgasse Leipzig Science
Org692	  Department University Science Philadelphia Pennsylvania
Org693	  Bremen University Lab DFKI
Org694	  Centro Scientifica ITC Ricerca irst Sommarive Tecnologica Trento
Org695	  Hannover Forschungszentrum Appelstr
Org696	  Institute Technology Science Zhengzhou
Org697	  Upper IDA Digital Newcastle Galway Park Institute National University Ireland Enterprise Business
Org698	  Universit di Torino IT
Org699	  Institute University DERI Enterprise Digital Innsbruck
Org700	  Artificial Department Center Intelligence Kaiserslautern German Management Knowledge GmbH DFKI
Org701	  tica Inform Janeiro lica Caixa Departamento Pontif Cat RJ Rio cia Universidade Postal PUC
Org702	  Engineering Department Control Aeronautical Academy Naval Yantai
Org703	  Universit Institut Informatik Mannheim
Org704	  Bank China Exim
Org705	  Enginnering University Seattle Science WA Washington
Org706	  University Bremen Lab DFKI
Org707	  Engineering Dept
Org708	  irst Sommarive FBK Povo Trento
Org709	  Bozen Piazza University Bolzano Domenicani
Org710	  Engineering Department Crete University Technical Chania Electronic
Org711	  Eagan Thomson Opperman Drive Corp
Org712	  Europe Lycos GmbH
Org713	  Galaway Institute Enterprise Digital
Org714	  Talis Limited Birmingham
Org715	  Kexueyuan Hitachi Raycom infotech Park Beijing Corporation Hai Dian China Development Tower Nanlu District
Org716	  Center China Intel
Org717	  Faculty Accounting Cooperative Broadway Markets Capital Centre School NSW University Technology Australia Sydney
Org718	  Institute University Enterprise Digital Innsbruck
Org719	  Institute Mapping Surveying Zhengzhou
Org720	  Amsterdam Rijksmuseum
Org721	  Vassilika Heraklion Institute Vouton Science Box
Org722	  Institute Sciences Vision Applied
Org723	  Technology Software Laboratory
Org724	  CWI Amsterdam
Org725	  Stoneroos Television Digital Hilversum
Org726	  Universit Toulouse Dpt Cedex Mirail Math Antonio matiques IRIT Informatique le Machado
Org727	  route des cedex lucioles Antipolis INRIA BP Sophia
Org728	  Universit CNRS route des cedex Nice Colles Antipolis Sophia BP
Org729	  Institute University Media Milton Knowledge Keynes
Org730	  Bruno Center Technology Fondazione IRST Kessler
Org731	  Universit CNRS Vall e UMR LabInfo IGM Marne
Org732	  Kessler IRST ITC Foundation Sommarive Trento
Org733	  Office Mall Sector London Arch Public Admiralty
Org734	  Engineering Department Santa University Cruz California
Org735	  Str FZI Haid Karlsruhe und Neu
Org736	  Universit Toulouse Cedex Mirail Math Antonio partement matiques IRIT Informatique le Machado
Org737	  Suite Grumman Corporation Northrop Missouri Street Market Louis
Org738	  Bau Stuhlsatzenhausweg GmbH DFKI
Org739	  TU Wien Institute Technology Interactive Software Systems
Org740	  Universit Vall e Est Paris Marne
Org741	  Saarbr Stuhlsatzenhausweg Lab GmbH DFKI cken
Org742	  Saarbr GmbH DFKI cken
Org743	  Center University Hannover
Org744	  Engineering School Graduate Systems
Org745	  Center University Leibniz Hannover
Org746	  Universit CNRS Vall Cedex UMR LabInfo IGM Marne
Org747	  Adaptive Laboratories Kyoto Communications Keihanna Science City Hikaridai ATR
Org748	  CNRS LAAS Toulouse
Org749	  Rome Ontology CNR Laboratory ISTC Applied
Org750	  Rome URT CNR
Org751	  Politecnico zza di DEI Vinci Milano da
Org752	  Institute National University Ireland IDA Enterprise Digital Galway Business Park
Org753	  Intelligent Informatics Systems Business
Org754	  Center University Hannover Appelstra
Org755	  Augusta Fraunhofer Institute Berlin Kaiserin Allee Systems Communication FOKUS
Org756	  LLC Clark Parsia Washington DC
Org757	  Dipartimento Universit Sapienza di Sistemistica Roma Informatica Salaria
Org758	  Institute Enterprise Digital Galway
Org759	  Department Planck Databases Institute Max Saarbr Informatics Systems cken
Org760	  Oracle
Org761	  EECS KAIST
Org762	  Montpellier CNRS LIRMM Cedex UMR Univ
Org763	  MUSIC Campus Crete TUC University Technical Kounoupidiana
Org764	  ITC irst Sommarive Povo Trento
